sigla,nome,regiao,pct_total,idh,pop_mil,dom_sem_k,rank_taxa,rank_volume,dist_rank,score_100,margem_pp,ic_inf,ic_sup
SP,São Paulo,Sudeste,95.0,0.783,44411.238,852,23,1,22,100.0,1.12,93.9,96.1
MG,Minas Gerais,Sudeste,92.8,0.731,20539.989,564,15,3,12,55.9,1.09,91.7,93.9
BA,Bahia,Nordeste,89.2,0.66,14141.626,589,6,2,4,43.3,1.4,87.8,90.6
RJ,Rio de Janeiro,Sudeste,94.1,0.761,16055.174,390,21,4,17,39.0,1.11,93.0,95.2
PR,Paraná,Sul,92.8,0.749,11444.38,314,15,7,8,32.4,1.27,91.5,94.0
PE,Pernambuco,Nordeste,88.9,0.673,9058.931,388,4,5,1,29.7,1.39,87.5,90.3
RS,Rio Grande do Sul,Sul,93.2,0.746,10882.965,296,17,9,8,28.6,1.46,91.8,94.7
CE,Ceará,Nordeste,89.5,0.682,8794.957,340,8,6,2,28.3,1.4,88.1,90.9
MA,Maranhão,Nordeste,86.8,0.639,6776.699,297,2,8,6,22.3,1.36,85.5,88.2
PA,Pará,Norte,90.1,0.646,8120.131,262,9,10,1,20.6,2.12,88.0,92.3
AM,Amazonas,Norte,88.7,0.708,3941.613,136,3,12,9,14.4,2.26,86.4,91.0
SC,Santa Catarina,Sul,95.4,0.774,7610.361,135,25,13,12,14.0,1.31,94.1,96.7
GO,Goiás,Centro-Oeste,95.2,0.735,7056.495,131,24,14,10,11.8,1.87,93.3,97.1
PB,Paraíba,Nordeste,90.2,0.658,3974.687,146,10,11,1,9.8,1.77,88.4,91.9
ES,Espírito Santo,Sudeste,92.7,0.74,3833.712,109,14,18,4,9.6,1.45,91.3,94.2
RN,Rio Grande do Norte,Nordeste,90.3,0.684,3302.729,119,11,16,5,8.9,2.12,88.2,92.5
PI,Piauí,Nordeste,89.1,0.646,3271.199,125,5,15,10,8.2,2.27,86.8,91.3
AL,Alagoas,Nordeste,89.4,0.631,3127.683,117,7,17,10,6.9,1.58,87.9,91.0
MT,Mato Grosso,Centro-Oeste,94.2,0.725,3658.649,76,22,19,3,6.5,1.85,92.4,96.1
SE,Sergipe,Nordeste,91.4,0.665,2210.004,71,12,20,8,4.1,1.97,89.5,93.4
MS,Mato Grosso do Sul,Centro-Oeste,95.5,0.729,2757.013,47,26,21,5,3.2,2.25,93.2,97.7
AC,Acre,Norte,84.4,0.708,830.018,43,1,23,22,3.1,2.98,81.4,87.3
TO,Tocantins,Norte,91.7,0.699,1511.46,45,13,22,9,2.8,2.16,89.5,93.8
RO,Rondônia,Norte,94.0,0.736,1581.196,40,18,24,6,2.1,2.03,91.9,96.0
DF,Distrito Federal,Centro-Oeste,97.4,0.824,2817.381,28,27,25,2,2.1,2.67,94.7,100.0
AP,Amapá,Norte,94.0,0.708,733.759,14,18,26,8,0.0,3.69,90.3,97.7
RR,Roraima,Norte,94.0,0.75,636.707,11,18,27,9,0.0,2.58,91.4,96.6
